Year,VALUE
2000,3.8
2001,2.9
2002,3.3
2003,3.3
2004,2.5
2005,2
2006,1.2
2007,1
2008,1.1
2009,3
2010,2.8
2011,2.5
2012,2.8
2013,2.5
2014,1.6
2015,1.3
2016,1.4
2017,1.3
2018,1.4
2019,1.5
2020,2.5
2021,1.4
2022,1.3
2023,1.2
